sender_name,recipient_name,category,description,case_details,email_text
Rahul Sharma,ABC Pvt Ltd,Labour,Delayed salary payment,Salary for two months remains unpaid despite reminders,"Subject: Notice for Non-payment of Salary

Dear Sir/Madam,

I am writing to formally notify you regarding the non-payment of my salary for the past two months. Despite multiple reminders, the dues remain outstanding.

This constitutes a violation of employment obligations. I request immediate payment of the pending amount.

Kindly treat this matter with urgency.

Sincerely,
Rahul Sharma"
Priya Mehta,XYZ Retail,Consumer,Defective appliance received,Product malfunctioned within 2 days of purchase,"Subject: Complaint Regarding Defective Product

Dear Sir/Madam,

I wish to bring to your attention that the appliance purchased recently is defective and stopped functioning within two days.

This is a clear breach of consumer rights. I request a replacement or full refund at the earliest.

Sincerely,
Priya Mehta"
Amit Patel,Mr. Verma,Tenant,Unlawful eviction notice,Eviction notice served without prior legal warning,"Subject: Objection to Unlawful Eviction Notice

Dear Sir,

I am writing to formally object to the eviction notice issued without proper legal notice or justification.

Such action is not in compliance with tenant protection laws. I request withdrawal of the notice.

Sincerely,
Amit Patel"
Neha Joshi,Green Builders,Property,Construction delay,Project possession delayed beyond agreed timeline,"Subject: Complaint Regarding Delay in Property Possession

Dear Sir/Madam,

I wish to notify you about the delay in handing over possession of the property beyond the agreed timeline.

This delay has caused financial and personal inconvenience. I request immediate clarification and compensation.

Sincerely,
Neha Joshi"
Rohit Singh,TechZone,Cyber,Unauthorized account access,Personal account hacked and misused,"Subject: Report of Unauthorized Account Access

Dear Sir/Madam,

I am writing to report unauthorized access to my account, resulting in misuse of personal data.

This is a serious cybersecurity concern. Kindly investigate and secure my account immediately.

Sincerely,
Rohit Singh"
Kavya Shah,University Admin,Education,Incorrect exam result,Marks displayed do not match actual performance,"Subject: Request for Re-evaluation of Exam Results

Dear Sir/Madam,

I wish to bring to your attention a discrepancy in my exam results which do not reflect my actual performance.

I request a re-evaluation of my answer sheet.

Sincerely,
Kavya Shah"
Arjun Desai,Legal Corp,Contract,Breach of agreement,Terms of service agreement not honored,"Subject: Notice for Breach of Contract

Dear Sir/Madam,

I am writing to inform you that the agreed terms of our contract have not been fulfilled.

This constitutes a breach of agreement. I request immediate corrective action.

Sincerely,
Arjun Desai"
Sneha Kapoor,Family Court,Family Law,Child custody dispute,Disagreement regarding custody arrangements,"Subject: Request for Intervention in Custody Matter

Dear Sir/Madam,

I am writing to seek legal intervention regarding the ongoing child custody dispute.

I request fair consideration in the best interest of the child.

Sincerely,
Sneha Kapoor"
Vikas Yadav,Police Department,Criminal,Fraud complaint,Money transferred under false pretenses,"Subject: Complaint Regarding Financial Fraud

Dear Sir/Madam,

I wish to report a case of fraud where I was misled into transferring money.

I request immediate investigation and necessary legal action.

Sincerely,
Vikas Yadav"
sender_name,recipient_name,category,description,case_details,email_text
Ankit Verma,ABC Pvt Ltd,Labour,Unpaid overtime wages,Employee worked extra hours without compensation,"Subject: Notice for Unpaid Overtime Wages

Dear Sir/Madam,

I am writing to formally address the issue of unpaid overtime wages for additional hours worked over the past months.

This is in violation of labor regulations. I request payment for the overtime hours at the earliest.

Sincerely,
Ankit Verma"
Riya Shah,OnlineKart,Consumer,Wrong product delivered,Delivered item does not match order placed,"Subject: Complaint Regarding Incorrect Product Delivery

Dear Sir/Madam,

I wish to bring to your attention that the product delivered does not match the item I had ordered.

This reflects a lapse in service. I request an immediate replacement.

Sincerely,
Riya Shah"
Manoj Patel,Mr. Shah,Tenant,Security deposit not returned,Landlord refusing to refund deposit after vacating,"Subject: Request for Refund of Security Deposit

Dear Sir,

I am writing regarding the non-refund of my security deposit after vacating the premises.

Kindly process the refund without further delay.

Sincerely,
Manoj Patel"
Pooja Mehta,Sunrise Developers,Property,Illegal construction activity,Unauthorized modifications in residential building,"Subject: Complaint Regarding Unauthorized Construction

Dear Sir/Madam,

I wish to report unauthorized construction activities within the residential premises.

This violates property regulations. Kindly take necessary action.

Sincerely,
Pooja Mehta"
Kunal Joshi,NetSecure,Cyber,Online payment fraud,Unauthorized transaction from bank account,"Subject: Report of Unauthorized Transaction

Dear Sir/Madam,

I am writing to report an unauthorized transaction from my bank account.

Please investigate and reverse the transaction urgently.

Sincerely,
Kunal Joshi"
Isha Desai,College Board,Education,Admission cancellation issue,Admission revoked without valid reason,"Subject: Appeal Against Admission Cancellation

Dear Sir/Madam,

I am writing to appeal against the cancellation of my admission without clear justification.

I request reconsideration of my case.

Sincerely,
Isha Desai"
Raj Malhotra,BuildCorp,Contract,Payment dispute,Client failed to release agreed payment,"Subject: Notice Regarding Pending Payment

Dear Sir/Madam,

I wish to notify you regarding the pending payment that remains unpaid despite completion of services.

Kindly settle the dues promptly.

Sincerely,
Raj Malhotra"
Meera Nair,Family Court,Family Law,Alimony dispute,Disagreement over maintenance amount,"Subject: Request for Review of Alimony Terms

Dear Sir/Madam,

I am writing to request a review of the alimony terms due to financial constraints.

I seek a fair reassessment.

Sincerely,
Meera Nair"
Suresh Kumar,Police Station,Criminal,Theft complaint,Personal belongings stolen from residence,"Subject: Complaint Regarding Theft Incident

Dear Sir/Madam,

I wish to report a theft incident at my residence involving valuable belongings.

Kindly initiate investigation.

Sincerely,
Suresh Kumar"
Deepak Singh,ABC Pvt Ltd,Labour,Wrongful termination,Employee terminated without valid reason,"Subject: Notice Against Wrongful Termination

Dear Sir/Madam,

I am writing to address my termination which was carried out without proper justification.

I request clarification and reinstatement.

Sincerely,
Deepak Singh"
Anjali Gupta,ShopEasy,Consumer,Refund not processed,Return accepted but refund not issued,"Subject: Request for Pending Refund

Dear Sir/Madam,

I am writing regarding a refund that has not been processed despite returning the product.

Kindly resolve this at the earliest.

Sincerely,
Anjali Gupta"
Ramesh Patel,Mr. Iyer,Tenant,Rent overcharge,Landlord charging rent beyond agreement,"Subject: Complaint Regarding Excess Rent Charges

Dear Sir,

I wish to report excessive rent charges beyond the agreed amount.

Please rectify this issue immediately.

Sincerely,
Ramesh Patel"
Nikita Shah,Urban Estates,Property,Encroachment issue,Neighbor occupying part of property illegally,"Subject: Complaint Regarding Property Encroachment

Dear Sir/Madam,

I am writing to report encroachment on my property by a neighboring party.

Kindly take appropriate action.

Sincerely,
Nikita Shah"
Harsh Mehta,Cyber Cell,Cyber,Identity theft,Personal identity misused online,"Subject: Complaint Regarding Identity Theft

Dear Sir/Madam,

I wish to report misuse of my identity in online platforms.

Kindly investigate and take action.

Sincerely,
Harsh Mehta"
Simran Kaur,University Office,Education,Certificate delay,Degree certificate not issued on time,"Subject: Request for Issuance of Certificate

Dear Sir/Madam,

I am writing regarding the delay in issuance of my degree certificate.

Kindly expedite the process.

Sincerely,
Simran Kaur"
Vivek Jain,TechBuild,Contract,Service delay,Project milestones not met on time,"Subject: Notice for Delay in Services

Dear Sir/Madam,

I wish to address delays in service delivery that have affected project timelines.

Please ensure completion as agreed.

Sincerely,
Vivek Jain"
Kiran Rao,Family Court,Family Law,Divorce settlement dispute,Disagreement on settlement terms,"Subject: Request for Review of Settlement Terms

Dear Sir/Madam,

I seek a review of the divorce settlement terms due to discrepancies.

Kindly consider my request.

Sincerely,
Kiran Rao"
Aakash Singh,Police Station,Criminal,Assault complaint,Physical altercation resulting in injury,"Subject: Complaint Regarding Assault

Dear Sir/Madam,

I wish to report an incident of physical assault resulting in injuries.

Kindly initiate legal action.

Sincerely,
Aakash Singh"
sender_name,recipient_name,category,description,case_details,email_text
Nikhil Shah,ABC Pvt Ltd,Labour,Salary deduction without notice,Employer deducted salary without prior consent,"Subject: Notice Regarding Unauthorized Salary Deduction

Dear Sir/Madam,

I am writing to bring to your attention an unauthorized deduction made from my salary without prior notice.

This action is not in accordance with employment policies. Kindly provide clarification and refund the deducted amount.

Sincerely,
Nikhil Shah"
