text,category,severity
divorce proceedings required with mutual agreement seeking legal resolution,Family Law,Moderate
wages delayed repeatedly despite complaints despite multiple complaints filed,Labour Law,Moderate
landlord refusing to return security deposit after vacating,Tenant Law,Minor
payment not made after contract completion despite multiple complaints filed,Contract Law,Moderate
individual physically assaulted and injured,Criminal Law,Serious
builder delaying possession of property and no action taken by authorities,Property Law,Moderate
online fraud transaction resulted in financial loss seeking legal resolution,Cyber Law,Serious
incorrect exam result declared,Education Law,Minor
institute not refunding fees after cancellation seeking legal resolution,Education Law,Moderate
online order delivered wrong item and no replacement given causing financial and mental stress,Consumer Law,Minor
personal data misused without permission causing financial and mental stress,Cyber Law,Minor
startup agreement conflict among founders and no action taken by authorities,Business Law,Moderate
certificate not issued after course completion seeking legal resolution,Education Law,Minor
personal data misused without permission,Cyber Law,Minor
company not complying with legal regulations,Business Law,Minor
certificate not issued after course completion despite multiple complaints filed,Education Law,Moderate
warranty claim rejected unfairly causing financial and mental stress,Consumer Law,Minor
contract terms violated after signing seeking legal resolution,Contract Law,Minor
child custody dispute between parents despite multiple complaints filed,Family Law,Moderate
bank account hacked and money transferred without consent despite multiple complaints filed,Cyber Law,Serious
serious threats received from known person and no action taken by authorities,Criminal Law,Serious
employee terminated without notice or settlement seeking legal resolution,Labour Law,Minor
payment not made after contract completion seeking legal resolution,Contract Law,Minor
spouse refusing separation agreement,Family Law,Moderate
online fraud transaction resulted in financial loss causing financial and mental stress,Cyber Law,Serious
phishing attack asking for sensitive information,Cyber Law,Minor
domestic conflict requiring legal guidance despite multiple complaints filed,Family Law,Moderate
phishing attack asking for sensitive information despite multiple complaints filed,Cyber Law,Moderate
attempt to harm life reported causing financial and mental stress,Criminal Law,Serious
serious threats received from known person,Criminal Law,Serious
company forcing overtime work without compensation and no action taken by authorities,Labour Law,Minor
salary has not been paid for the last three months by employer despite multiple complaints filed,Labour Law,Moderate
company not responding to complaint request despite multiple complaints filed,Consumer Law,Moderate
online fraud transaction resulted in financial loss and no action taken by authorities,Cyber Law,Serious
client refused to follow agreement conditions seeking legal resolution,Contract Law,Moderate
illegal possession of land by another party causing financial and mental stress,Property Law,Serious
attempt to harm life reported and no action taken by authorities,Criminal Law,Serious
fraud committed causing financial damage and no action taken by authorities,Criminal Law,Serious
incorrect exam result declared seeking legal resolution,Education Law,Minor
online fraud transaction resulted in financial loss despite multiple complaints filed,Cyber Law,Serious
bank account hacked and money transferred without consent seeking legal resolution,Cyber Law,Serious
startup agreement conflict among founders,Business Law,Moderate
rent increased without agreement causing financial and mental stress,Tenant Law,Moderate
tenant forced to vacate property without notice seeking legal resolution,Tenant Law,Minor
individual physically assaulted and injured despite multiple complaints filed,Criminal Law,Serious
startup agreement conflict among founders despite multiple complaints filed,Business Law,Moderate
landlord refusing to return security deposit after vacating despite multiple complaints filed,Tenant Law,Moderate
wages delayed repeatedly despite complaints and no action taken by authorities,Labour Law,Moderate
client refused to follow agreement conditions despite multiple complaints filed,Contract Law,Moderate
divorce proceedings required with mutual agreement,Family Law,Moderate
forged property documents detected seeking legal resolution,Property Law,Minor
college denied admission without valid reason causing financial and mental stress,Education Law,Minor
company forcing overtime work without compensation,Labour Law,Minor
fraud committed causing financial damage causing financial and mental stress,Criminal Law,Serious
illegal possession of land by another party and no action taken by authorities,Property Law,Serious
bank account hacked and money transferred without consent causing financial and mental stress,Cyber Law,Serious
contract terms violated after signing and no action taken by authorities,Contract Law,Minor
child custody dispute between parents causing financial and mental stress,Family Law,Moderate
college denied admission without valid reason seeking legal resolution,Education Law,Minor
domestic conflict requiring legal guidance and no action taken by authorities,Family Law,Minor
incorrect exam result declared despite multiple complaints filed,Education Law,Moderate
divorce proceedings required with mutual agreement and no action taken by authorities,Family Law,Moderate
rent increased without agreement seeking legal resolution,Tenant Law,Moderate
employee terminated without notice or settlement causing financial and mental stress,Labour Law,Minor
rent increased without agreement despite multiple complaints filed,Tenant Law,Moderate
illegal possession of land by another party,Property Law,Serious
warranty claim rejected unfairly and no action taken by authorities,Consumer Law,Minor
shareholder disagreement affecting operations seeking legal resolution,Business Law,Moderate
spouse refusing separation agreement causing financial and mental stress,Family Law,Moderate
attempt to harm life reported,Criminal Law,Serious
warranty claim rejected unfairly despite multiple complaints filed,Consumer Law,Moderate
attempt to harm life reported despite multiple complaints filed,Criminal Law,Serious
college denied admission without valid reason and no action taken by authorities,Education Law,Minor
warranty claim rejected unfairly,Consumer Law,Minor
illegal possession of land by another party seeking legal resolution,Property Law,Serious
builder delaying possession of property causing financial and mental stress,Property Law,Moderate
landlord not maintaining basic facilities despite multiple complaints filed,Tenant Law,Moderate
fraud committed causing financial damage,Criminal Law,Serious
illegal possession of land by another party despite multiple complaints filed,Property Law,Serious
property ownership dispute between family members despite multiple complaints filed,Property Law,Moderate
salary has not been paid for the last three months by employer causing financial and mental stress,Labour Law,Minor
personal data misused without permission seeking legal resolution,Cyber Law,Minor
received defective product and seller denied refund despite multiple complaints filed,Consumer Law,Moderate
company not complying with legal regulations seeking legal resolution,Business Law,Minor
startup agreement conflict among founders seeking legal resolution,Business Law,Moderate
child custody dispute between parents seeking legal resolution,Family Law,Moderate
institute not refunding fees after cancellation and no action taken by authorities,Education Law,Moderate
tenant forced to vacate property without notice and no action taken by authorities,Tenant Law,Minor
